city,country,MealInexpensive,Meal2People,McMeal,BeerDomesticRestaurant,BeerImportedRestaurant,Cappucino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Banana,Oranges,Tomato,Potato,Onion,Lettuce,Water,Wine,BeerDomesticMarket,BeerImportedMarket,Cigarettes,LocalTransport1Way,MonthlyPass,TaxiStart,Taxi1km,Taxi1hrWaiting,Gasoline,CarVolkswagenGolf,CarToyotaCorolla,Utility,PrepaidMobile,InternetAndMobile,FitnessClub,TennisCourtRent,Cinema,Preschool,PrimarySchool,Jeans,SummerDress,NikeRunningShoes,LeatherBusinessShoes,Apt1BedroomCityCtr,Apt1BedroomNoCityCtr,Apt3BedroomCityCtr,Apt3BedroomNoCityCtr,PricePerSqMtCityCtr,PricePerSqMtNoCityCtr,AvgMonthlyNetSalary,MortgageInterest,data_quality
Brussels,Belgium,15.81,73.76,9.48,5.27,5.27,3.34,2.53,2.57,1.12,2.05,1.98,3.08,14.66,9.97,17.31,2.39,1.62,2.5,2.64,1.42,1.23,1.49,1.0,8.43,2.21,3.33,7.9,2.53,52.69,5.16,2.11,31.61,1.98,26343.63,28166.61,207.8,0.27,51.82,32.5,23.59,12.64,888.16,23456.37,83.82,30.14,91.68,124.45,984.93,812.78,1716.65,1511.29,4091.43,3429.46,2798.0,1.64,1
Warsaw,Poland,7.89,45.07,6.31,3.16,3.16,2.97,1.36,1.29,0.79,0.99,1.34,2.5,7.48,5.61,10.44,0.88,1.31,1.56,2.27,0.74,0.76,1.01,0.54,6.76,0.98,1.4,4.06,0.99,24.79,1.8,0.68,9.01,1.66,23189.96,22271.23,198.99,0.06,13.45,30.24,16.72,6.76,397.82,11240.84,74.9,33.15,77.09,92.16,793.08,616.06,1466.44,1110.63,4469.94,2872.23,1286.21,8.01,1
Budapest,Hungary,8.23,38.57,5.66,2.06,2.06,1.85,1.14,0.93,1.08,1.35,1.68,2.78,9.97,4.81,10.09,1.5,1.59,1.98,2.47,1.08,1.08,1.33,0.4,4.63,0.87,1.46,5.14,0.9,24.43,2.57,1.03,15.43,1.55,23581.66,22011.83,154.04,0.08,12.82,44.23,11.33,5.91,361.49,8769.62,69.57,31.89,71.12,87.26,492.44,377.48,886.09,637.0,3407.13,2268.25,974.48,8.13,1
Munich,Germany,15.81,65.86,9.48,4.21,4.21,3.59,3.15,2.89,1.28,1.94,2.43,3.34,13.79,10.49,19.58,3.01,1.87,2.51,2.87,2.06,1.34,1.54,0.83,7.38,1.06,1.97,8.11,3.69,62.28,4.95,2.11,31.61,2.22,26132.88,23480.74,302.81,0.11,37.72,40.64,25.11,12.64,675.85,17023.84,91.81,37.83,94.33,121.13,1427.72,1061.23,2599.04,1943.52,12962.21,9517.5,3467.43,2.02,1
Milan,Italy,21.07,84.3,10.22,6.32,5.27,1.86,2.78,1.32,1.51,2.4,2.76,3.65,14.5,11.1,20.61,2.44,2.08,2.13,2.79,1.53,1.17,1.17,0.49,7.38,1.5,2.05,6.32,2.11,41.1,6.32,2.11,36.88,2.07,25816.76,28783.71,216.3,0.16,29.7,79.05,26.53,10.54,805.81,16660.06,96.07,35.27,102.81,160.11,1335.89,874.97,2766.72,1786.5,9364.19,4741.85,1897.64,1.68,1
Prague,Czech Republic,8.65,43.26,7.35,2.16,2.38,2.79,1.66,1.25,1.02,1.39,2.25,2.34,11.04,8.53,12.39,1.74,1.57,1.94,3.21,0.92,0.89,1.39,0.65,6.49,0.97,1.69,6.01,1.38,23.79,1.9,1.21,15.57,1.93,25650.18,24575.34,267.29,0.16,22.72,47.45,13.49,8.85,689.59,10580.66,86.55,37.72,91.18,100.94,945.17,704.73,1677.54,1206.79,7798.05,5176.39,1686.36,5.67,1
Sofia,Bulgaria,10.69,37.4,6.41,1.87,2.67,1.93,1.21,0.83,1.57,1.02,1.89,2.58,9.4,7.65,10.93,1.5,1.63,1.6,2.37,0.96,0.87,0.9,0.61,6.41,0.88,1.55,3.21,0.85,26.72,1.12,0.64,9.62,1.74,24044.33,22857.83,134.2,0.19,12.8,29.6,14.51,8.01,437.97,7195.09,64.68,33.48,79.16,86.64,446.35,336.9,828.19,567.03,2539.67,1625.36,1005.95,3.15,1
Birmingham,United Kingdom,13.47,61.5,7.38,4.61,4.92,3.4,1.78,1.26,1.2,1.2,1.6,2.34,7.58,6.64,9.49,2.16,1.21,2.3,2.23,1.35,1.33,0.69,1.3,8.61,2.0,2.01,15.07,2.95,67.65,2.71,1.38,19.19,1.95,29520.0,29520.0,219.9,0.17,33.21,30.75,13.94,12.3,1440.86,18245.0,73.12,36.9,89.69,76.88,992.61,760.68,2174.26,1445.25,6953.22,4059.3,2976.96,3.05,1
Cologne,Germany,13.7,55.32,9.48,3.69,3.06,2.85,2.36,1.89,1.1,1.94,2.19,2.73,12.26,10.29,14.05,2.77,1.67,2.3,1.41,1.91,1.22,1.61,0.65,5.27,0.56,2.16,8.43,3.16,101.16,3.95,2.16,31.61,2.2,24441.62,28978.78,279.73,0.13,35.39,34.71,29.07,12.64,577.1,12223.44,86.27,30.56,80.61,116.88,921.15,700.43,1712.34,1265.2,6019.52,4662.82,2480.27,2.67,1
Stockholm,Sweden,12.59,77.47,8.72,6.78,6.78,3.95,2.29,2.06,1.44,2.79,2.76,3.74,9.59,11.81,18.43,3.01,2.44,2.54,3.94,1.37,1.29,2.26,1.45,10.65,2.0,2.28,6.68,3.78,93.94,4.84,2.76,50.6,2.16,27115.49,26837.42,102.95,0.14,34.07,43.09,34.4,14.53,134.78,8473.59,86.95,39.81,94.14,124.27,1375.6,1019.86,2301.49,1607.85,11124.31,6758.16,3021.18,2.51,1
Naples,Italy,15.81,52.69,8.43,4.21,3.69,1.81,1.65,1.05,1.26,1.19,1.68,2.68,11.63,8.77,12.45,1.99,1.79,1.63,2.37,1.29,1.31,0.87,0.64,5.27,1.64,2.46,6.32,1.37,38.99,5.27,1.26,18.97,2.18,26343.63,26080.19,149.59,0.21,30.48,51.28,27.66,9.48,268.92,5374.1,67.62,35.48,85.62,105.37,667.37,403.94,1112.82,856.17,4127.17,2239.21,1408.51,1.67,1
Turin,Italy,13.7,59.54,9.48,5.27,4.21,1.51,2.38,1.1,1.47,1.62,2.25,3.11,13.75,10.78,17.56,1.92,1.74,2.01,2.39,1.19,1.21,0.98,0.41,5.53,1.4,2.08,6.32,1.79,40.04,5.27,1.81,31.61,2.06,25632.35,27890.0,190.84,0.15,29.49,38.74,20.02,9.48,601.95,12381.51,65.27,29.12,74.59,110.33,573.48,439.3,1363.28,806.39,3463.74,1787.48,1621.41,1.77,1
Birmingham,United States,15.5,60.0,8.25,5.5,7.99,5.06,2.38,1.71,1.05,3.79,3.75,3.98,8.84,13.48,12.12,6.55,1.55,6.62,5.15,6.0,4.63,1.92,2.32,13.0,3.04,2.72,7.0,1.38,55.0,4.5,1.24,39.0,1.17,23747.0,26672.0,213.78,0.1,69.43,46.75,15.67,10.0,1025.0,11875.0,65.57,41.71,81.29,114.75,1300.0,953.75,2140.0,1775.0,2870.38,2027.2,2929.9,5.43,1
London,Canada,16.68,74.11,9.63,4.45,4.45,3.4,1.85,1.4,1.7,2.21,2.73,2.69,10.85,7.99,12.81,3.28,1.12,3.01,4.0,1.78,1.8,1.97,1.36,11.12,2.39,2.96,10.67,2.22,70.41,2.87,1.48,18.53,1.39,22234.49,18462.91,129.73,0.25,59.7,29.12,26.68,11.11,963.49,17726.87,68.6,37.39,79.77,90.61,1348.08,1067.55,2559.89,1581.36,7101.66,3464.88,3446.3,4.53,1
